time,lat,lon,sea_water_temperature,qartod_sea_water_temperature_gap_flag,qartod_sea_water_temperature_valid_range_flag,qartod_sea_water_temperature_location_flag,qartod_sea_water_temperature_syntax_flag,qartod_sea_water_temperature_climatological_flag,qartod_sea_water_temperature_flat_line_flag,qartod_sea_water_temperature_gross_range_flag,qartod_sea_water_temperature_rate_of_change_flag,qartod_sea_water_temperature_spike_flag,qartod_sea_water_temperature_attenuated_signal_flag,qartod_sea_water_temperature_density_inversion_flag,qartod_sea_water_temperature_primary_flag,sea_water_electrical_conductivity,qartod_sea_water_electrical_conductivity_gap_flag,qartod_sea_water_electrical_conductivity_valid_range_flag,qartod_sea_water_electrical_conductivity_location_flag,qartod_sea_water_electrical_conductivity_syntax_flag,qartod_sea_water_electrical_conductivity_climatological_flag,qartod_sea_water_electrical_conductivity_flat_line_flag,qartod_sea_water_electrical_conductivity_gross_range_flag,qartod_sea_water_electrical_conductivity_rate_of_change_flag,qartod_sea_water_electrical_conductivity_spike_flag,qartod_sea_water_electrical_conductivity_attenuated_signal_flag,qartod_sea_water_electrical_conductivity_density_inversion_flag,qartod_sea_water_electrical_conductivity_primary_flag,sea_water_pressure,qartod_sea_water_pressure_gap_flag,qartod_sea_water_pressure_valid_range_flag,qartod_sea_water_pressure_location_flag,qartod_sea_water_pressure_syntax_flag,qartod_sea_water_pressure_climatological_flag,qartod_sea_water_pressure_flat_line_flag,qartod_sea_water_pressure_gross_range_flag,qartod_sea_water_pressure_rate_of_change_flag,qartod_sea_water_pressure_spike_flag,qartod_sea_water_pressure_pressure_flag,qartod_sea_water_pressure_attenuated_signal_flag,qartod_sea_water_pressure_density_inversion_flag,qartod_sea_water_pressure_primary_flag,sea_water_practical_salinity,qartod_sea_water_practical_salinity_gap_flag,qartod_sea_water_practical_salinity_valid_range_flag,qartod_sea_water_practical_salinity_location_flag,qartod_sea_water_practical_salinity_syntax_flag,qartod_sea_water_practical_salinity_climatological_flag,qartod_sea_water_practical_salinity_flat_line_flag,qartod_sea_water_practical_salinity_gross_range_flag,qartod_sea_water_practical_salinity_rate_of_change_flag,qartod_sea_water_practical_salinity_spike_flag,qartod_sea_water_practical_salinity_attenuated_signal_flag,qartod_sea_water_practical_salinity_density_inversion_flag,qartod_sea_water_practical_salinity_primary_flag,sea_water_ph,qartod_sea_water_ph_gap_flag,qartod_sea_water_ph_valid_range_flag,qartod_sea_water_ph_location_flag,qartod_sea_water_ph_syntax_flag,qartod_sea_water_ph_climatological_flag,qartod_sea_water_ph_flat_line_flag,qartod_sea_water_ph_gross_range_flag,qartod_sea_water_ph_rate_of_change_flag,qartod_sea_water_ph_spike_flag,qartod_sea_water_ph_attenuated_signal_flag,qartod_sea_water_ph_density_inversion_flag,qartod_sea_water_ph_primary_flag,sea_water_dissolved_oxygen,qartod_sea_water_dissolved_oxygen_gap_flag,qartod_sea_water_dissolved_oxygen_valid_range_flag,qartod_sea_water_dissolved_oxygen_location_flag,qartod_sea_water_dissolved_oxygen_syntax_flag,qartod_sea_water_dissolved_oxygen_climatological_flag,qartod_sea_water_dissolved_oxygen_flat_line_flag,qartod_sea_water_dissolved_oxygen_gross_range_flag,qartod_sea_water_dissolved_oxygen_rate_of_change_flag,qartod_sea_water_dissolved_oxygen_spike_flag,qartod_sea_water_dissolved_oxygen_attenuated_signal_flag,qartod_sea_water_dissolved_oxygen_density_inversion_flag,qartod_sea_water_dissolved_oxygen_primary_flag,sea_water_fluorescence,qartod_sea_water_fluorescence_gap_flag,qartod_sea_water_fluorescence_valid_range_flag,qartod_sea_water_fluorescence_location_flag,qartod_sea_water_fluorescence_syntax_flag,qartod_sea_water_fluorescence_climatological_flag,qartod_sea_water_fluorescence_flat_line_flag,qartod_sea_water_fluorescence_gross_range_flag,qartod_sea_water_fluorescence_rate_of_change_flag,qartod_sea_water_fluorescence_spike_flag,qartod_sea_water_fluorescence_attenuated_signal_flag,qartod_sea_water_fluorescence_density_inversion_flag,qartod_sea_water_fluorescence_primary_flag,sea_water_turbidity,qartod_sea_water_turbidity_gap_flag,qartod_sea_water_turbidity_valid_range_flag,qartod_sea_water_turbidity_location_flag,qartod_sea_water_turbidity_syntax_flag,qartod_sea_water_turbidity_climatological_flag,qartod_sea_water_turbidity_flat_line_flag,qartod_sea_water_turbidity_gross_range_flag,qartod_sea_water_turbidity_rate_of_change_flag,qartod_sea_water_turbidity_spike_flag,qartod_sea_water_turbidity_attenuated_signal_flag,qartod_sea_water_turbidity_density_inversion_flag,qartod_sea_water_turbidity_primary_flag,altitude,qartod_altitude_gap_flag,qartod_altitude_valid_range_flag,qartod_altitude_location_flag,qartod_altitude_syntax_flag,qartod_altitude_climatological_flag,qartod_altitude_flat_line_flag,qartod_altitude_gross_range_flag,qartod_altitude_rate_of_change_flag,qartod_altitude_spike_flag,qartod_altitude_attenuated_signal_flag,qartod_altitude_density_inversion_flag,qartod_altitude_primary_flag,depth,qartod_depth_gap_flag,qartod_depth_valid_range_flag,qartod_depth_location_flag,qartod_depth_syntax_flag,qartod_depth_climatological_flag,qartod_depth_flat_line_flag,qartod_depth_gross_range_flag,qartod_depth_rate_of_change_flag,qartod_depth_spike_flag,qartod_depth_attenuated_signal_flag,qartod_depth_density_inversion_flag,qartod_depth_primary_flag
2021-09-30 15:46:09,30.186468,-91.985506,26.241,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,0.372,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,8.254,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,87.27,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,8.663,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.5,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,13.493,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,0.381,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0
2021-09-30 15:46:09,30.186468,-91.985506,26.24,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,0.372,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,8.249,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,87.275,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.588,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,5.438,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.39,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.381,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
2021-09-30 15:46:10,30.186468,-91.985506,26.238,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,0.102,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,0.372,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,0.087,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,8.26,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,87.275,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.625,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,5.563,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.411,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.381,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
2021-09-30 15:46:10,30.186469,-91.985504,26.235,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,0.372,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,8.255,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,87.265,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.413,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.563,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.392,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.381,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
2021-09-30 15:46:10,30.186469,-91.985504,26.23,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,0.331,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,8.261,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,87.27,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.25,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.5,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.439,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.339,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
2021-09-30 15:46:10,30.186469,-91.985504,26.228,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,0.232,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,8.236,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,87.265,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.988,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,5.438,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.454,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.237,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
2021-09-30 15:46:11,30.18647,-91.985503,26.227,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,0.16,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,8.23,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,87.27,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,8.163,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,5.313,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.553,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.164,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
2021-09-30 15:46:11,30.18647,-91.985503,26.226,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,0.083,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,8.213,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,87.265,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,8.313,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.375,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.589,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
2021-09-30 15:46:11,30.18647,-91.985502,26.226,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,0.086,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,8.215,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,87.24,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,8.225,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.438,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.789,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.088,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
2021-09-30 15:46:11,30.186471,-91.985502,26.228,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,4.0,0.1,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,0.133,0.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.085,0.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,8.013,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,87.24,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,8.038,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,5.375,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,13.772,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.136,0.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
