Date / Time	TURBIDITY;FTU	PRESSURE;DBAR	TEMPERATURE;C	DISSOLVED OXYGEN;SAT%	ALTITUDE;M	CONDUCTIVITY;MS/CM	FLUOROMETER (C);UG/L	PH;PH	Calc. SALINITY; PSU	Calc. DEPTH;M	LATITUDE;DEG	LONGITUDE;DEG
06/10/2022 18:51:17.000	109.812	-000.019	0025.953	0096.790	0010.305	0044.728	0001.288	0008.401	0056.752	-000.019	30.179334	-88.860237
06/10/2022 18:51:18.000	69.812	-000.018	0025.953	0096.770	0010.298	0043.052	0001.125	0008.403	0054.344	-000.018	30.179338	-88.860235
06/10/2022 18:51:18.000	266.375	-000.017	0025.956	0096.085	0010.290	0017.592	0001.325	0008.399	0020.223	-000.017	30.179346	-88.860230
06/10/2022 18:51:18.000	87.312	-000.017	0025.960	0096.695	0010.290	0001.128	0001.725	0008.403	0001.080	-000.017	30.179349	-88.860227
06/10/2022 18:51:18.000	301.187	-000.018	0025.963	0096.695	0010.278	0025.260	0003.237	0008.461	0030.022	-000.018	30.179353	-88.860224
06/10/2022 18:51:19.000	448.312	-000.016	0025.966	0096.715	0010.260	0044.218	0001.838	0008.406	0056.017	-000.016	30.179357	-88.860221
06/10/2022 18:51:19.000	212.812	0000.039	0025.965	0096.700	0010.260	0045.544	0001.363	0008.407	0057.931	0000.039	30.179363	-88.860216
06/10/2022 18:51:19.000	362.687	0000.185	0025.961	0096.710	0010.103	0046.472	0001.363	0008.426	0059.279	0000.184	30.179367	-88.860213
06/10/2022 18:51:19.000	50.313	0000.328	0025.927	0096.705	0010.103	0047.176	0001.337	0008.401	0060.306	0000.327	30.179370	-88.860211
06/10/2022 18:51:20.000	8.125	0000.355	0025.879	0096.705	0010.074	0047.108	0001.475	0008.403	0060.207	0000.354	30.179373	-88.860209
06/10/2022 18:51:20.000	5.125	0000.418	0025.816	0096.700	0010.396	0047.152	0001.350	0008.406	0060.271	0000.417	30.179378	-88.860204
06/10/2022 18:51:20.000	4.813	0000.472	0025.776	0096.695	0010.492	0047.096	0001.388	0008.412	0060.189	0000.471	30.179381	-88.860203
06/10/2022 18:51:20.000	4.750	0000.520	0025.703	0096.290	0010.783	0047.050	0001.300	0008.414	0060.122	0000.518	30.179384	-88.860201
06/10/2022 18:51:21.000	5.000	0000.576	0025.631	0096.290	0011.182	0046.950	0001.325	0008.408	0059.976	0000.574	30.179387	-88.860199
06/10/2022 18:51:21.000	4.563	0000.609	0025.528	0096.290	0011.546	0046.930	0001.337	0008.409	0059.947	0000.607	30.179392	-88.860196
06/10/2022 18:51:21.000	4.625	0000.666	0025.373	0096.290	0011.902	0046.922	0001.313	0008.415	0059.935	0000.664	30.179395	-88.860194
06/10/2022 18:51:21.000	4.500	0000.755	0025.259	0095.710	0011.941	0046.964	0001.313	0008.410	0059.997	0000.753	30.179397	-88.860193
06/10/2022 18:51:22.000	4.438	0000.831	0025.192	0096.070	0012.416	0046.954	0001.300	0008.415	0059.982	0000.828	30.179400	-88.860192
06/10/2022 18:51:22.000	4.438	0000.941	0025.145	0096.085	0012.416	0047.100	0001.238	0008.412	0060.195	0000.938	30.179404	-88.860189
06/10/2022 18:51:22.000	4.438	0001.027	0025.059	0096.080	0011.993	0047.230	0001.225	0008.405	0060.385	0001.024	30.179407	-88.860188
06/10/2022 18:51:22.000	4.563	0001.111	0024.991	0096.080	0011.475	0047.348	0001.175	0008.409	0060.558	0001.108	30.179409	-88.860186
06/10/2022 18:51:23.000	4.188	0001.202	0024.937	0095.980	0011.475	0047.636	0001.100	0008.409	0060.979	0001.198	30.179411	-88.860185
06/10/2022 18:51:23.000	4.063	0001.310	0024.912	0095.985	0010.569	0047.790	0001.175	0008.405	0061.205	0001.306	30.179415	-88.860182
06/10/2022 18:51:23.000	3.938	0001.388	0024.908	0095.990	0010.569	0047.968	0001.087	0008.410	0061.466	0001.384	30.179417	-88.860180
06/10/2022 18:51:23.000	3.875	0001.466	0024.916	0095.985	0010.110	0048.020	0001.113	0008.412	0061.542	0001.461	30.179419	-88.860179
06/10/2022 18:51:24.000	3.938	0001.536	0024.924	0095.985	0010.110	0048.084	0001.075	0008.409	0061.636	0001.531	30.179421	-88.860178
06/10/2022 18:51:24.000	3.813	0001.605	0024.930	0095.915	0009.945	0048.138	0001.050	0008.409	0061.716	0001.600	30.179425	-88.860175
06/10/2022 18:51:24.000	3.938	0001.686	0024.933	0095.920	0010.063	0048.222	0000.963	0008.413	0061.839	0001.681	30.179427	-88.860174
06/10/2022 18:51:24.000	3.750	0001.762	0024.943	0095.920	0010.131	0048.326	0000.975	0008.414	0061.992	0001.757	30.179428	-88.860172
06/10/2022 18:51:25.000	3.750	0001.844	0024.964	0095.915	0009.749	0048.396	0001.212	0008.406	0062.095	0001.838	30.179430	-88.860171
06/10/2022 18:51:25.000	3.813	0001.970	0024.993	0095.325	0009.644	0048.526	0001.013	0008.407	0062.286	0001.964	30.179433	-88.860169
06/10/2022 18:51:25.000	3.688	0002.086	0025.027	0095.545	0009.443	0048.688	0000.950	0008.405	0062.525	0002.079	30.179434	-88.860168
